"Timestamp","1. Do you agree to participate in this survey?","2. What is your year of study?","3. Which school are you enrolled in?","4. Have you searched for an internship during your undergraduate studies?","5. Have you completed an internship during your undergraduate studies?","6. I am aware of KIU internship support services.","7. Have you used any KIU internship support services?","8. Which KIU internship support services have you used? Select all that apply.","9. Internship-related information is easy to find.","10. Communication about internship opportunities is clear and timely.","11. KIU provides useful support for internship applications.","12. KIU provides useful CV or resume support.","13. KIU provides useful interview preparation support.","14. KIU provides helpful employer or industry connections.","15. Internship support services are easy to access.","16. Overall, I am satisfied with KIU internship support services.","17. KIU support services have improved my internship readiness.","18. What is the main reason you have not used KIU internship support services?","19. I feel confident finding internship opportunities.","20. I feel confident preparing a strong CV or resume.","21. I feel confident preparing for internship interviews.","22. I understand what employers expect from interns.","23. Which improvement would help students the most?","24. What is the biggest weakness of KIU internship support services?","25. What improvement would you suggest for KIU internship support services?"
"2026/07/07 7:18:45 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","No","No","1","No","","","","","","","","","","","I did not know the services existed","2","4","1","2","Earlier communication about internship opportunities","I had no idea that they existed at all","Inform us more, maybe outside of outlook, I don't really check that outside of my classes, like physical location that is located in the lobby "
"2026/07/07 7:20:42 pm GMT+4","Yes, I agree to participate","4th year","Mathematics","Yes","No","5","No","","","","","","","","","","","I knew about them but did not need them","5","5","5","4","More employer and alumni networking events","They are useless","Connect students directly with companies in mass events"
"2026/07/08 1:39:17 pm GMT+4","Yes, I agree to participate","2nd year","Mathematics","No","No","3","Yes","Internship information or announcements","2","4","3","3","3","3","4","3","3","I planned to use them later","2","3","2","2","More school-specific internship guidance","Not enough math projects, we have a choice to go with project and internship is considered too hard","give easier internships"
"2026/07/08 2:01:32 pm GMT+4","Yes, I agree to participate","4th year","Management","Yes","Yes","4","Yes","Employer or alumni events;One-to-one advising","4","3","4","3","2","4","3","4","3","","4","4","2","2","More mock interview practice","In my experience they could not help me with my interview","As I chose in multi question, better mock interviews or something equivalent"
"2026/07/08 2:23:25 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","No","No","1","No","","","","","","","","","","","I did not know the services existed","2","2","2","2","Earlier communication about internship opportunities","I'm not sure because we have not discussed internships yet","give more information to all students"
"2026/07/08 2:24:56 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","Yes","No","3","No","","","","","","","","","","","I planned to use them later","3","3","3","3","More employer and alumni networking events","I think there are not enough opportunities ","If there were more events where we could make connections "
"2026/07/08 2:27:11 pm GMT+4","Yes, I agree to participate","2nd year","Management","No","No","3","No","","","","","","","","","","","The available services did not seem relevant to my field","2","3","3","2","More CV or resume support","We are not informed or guided through our cv/interview processes","think about all aspects of internships and help us through them"
"2026/07/08 2:30:47 pm GMT+4","Yes, I agree to participate","2nd year","Mathematics","No","No","2","No","","","","","","","","","","","The available services did not seem relevant to my field","2","4","4","3","More school-specific internship guidance","I think internships are more cs-oriented, from what I've heard from my friends. It would be nice if others got attention too.","like i said, if other schools got enough attention about internships"
"2026/07/08 2:39:10 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","3","No","","","","","","","","","","","I planned to use them later","5","5","4","3","More school-specific internship guidance","The support was generally good, but I would have appreciated more information about available internship opportunities.","More personalized career guidance and regular updates about internship opportunities would be beneficial."
"2026/07/08 2:39:17 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","3","No","","","","","","","","","","","I did not know how to access them","2","3","2","2","More employer and alumni networking events","I dont think there services are avaliable enough or have a lot of staff, ive heard from my older friends that it takes a lot of effort and time to get responses from them","maybe organize the communication and everything about the internship better"
"2026/07/08 2:44:26 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","3","No","","","","","","","","","","","The available services did not seem relevant to my field","2","4","4","3","More school-specific internship guidance","I havent heard about internships for management students","I would like to do an internship to make my career more interesting and get more experience and a lot of my friends so too but it just isn't accessible to us."
"2026/07/08 2:44:34 pm GMT+4","Yes, I agree to participate","3rd year","Mathematics","No","No","2","No","","","","","","","","","","","I knew about them but did not need them","2","4","4","2","Earlier communication about internship opportunities","There are very few internship opportunities related to mathematics, which makes it difficult for students in this field to find relevant placements.","I would suggest expanding partnerships with organizations that offer mathematics-related internships, so that students in this field have access to more relevant opportunities."
"2026/07/08 4:49:32 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements","4","4","4","3","2","3","3","4","4","","3","3","4","4","Earlier communication about internship opportunities","",""
"2026/07/08 4:59:59 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","No","No","3","No","","","","","","","","","","","I planned to use them later","3","3","2","2","More CV or resume support","Don't know yet",""
"2026/07/08 5:04:26 pm GMT+4","Yes, I agree to participate","2nd year","Management","Yes","No","3","No","","","","","","","","","","","The available services did not seem relevant to my field","1","1","1","1","Earlier communication about internship opportunities","Haven't found any that are related to my field ","make it more various "
"2026/07/08 5:05:53 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","Yes","3","No","","","","","","","","","","","The available services did not seem relevant to my field","2","5","5","2","Earlier communication about internship opportunities","",""
"2026/07/08 5:20:17 pm GMT+4","Yes, I agree to participate","3rd year","Mathematics","Yes","Yes","5","Yes","Internship information or announcements","3","2","4","1","1","3","3","3","3","","4","3","4","4","More CV or resume support","untimely",""
"2026/07/08 5:22:18 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements;Application support","3","4","5","2","1","3","3","3","3","","3","3","4","3","One central internship information platform","small number of services","more eventss"
"2026/07/08 5:24:01 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","5","Yes","Internship information or announcements;CV or resume support;Application support;Interview preparation","4","5","4","4","3","3","4","4","4","","4","4","4","5","Other","no complaints personally",""
"2026/07/08 5:25:36 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","2","No","","","","","","","","","","","I did not know the services existed","2","1","1","1","Earlier communication about internship opportunities","they should reach out more","Provide more of the internship opportunities"
"2026/07/08 5:26:21 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","1","No","","","","","","","","","","","I did not know the services existed","3","2","3","2","One central internship information platform","",""
"2026/07/08 5:27:24 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","No","No","1","No","","","","","","","","","","","I did not know the services existed","1","1","1","3","Earlier communication about internship opportunities","",""
"2026/07/08 5:29:18 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","Yes","5","Yes","Internship information or announcements;One-to-one advising","3","2","3","1","1","2","3","2","2","","3","3","2","2","More CV or resume support","",""
"2026/07/08 5:30:53 pm GMT+4","Yes, I agree to participate","4th year","Management","Yes","Yes","4","Yes","Internship information or announcements","3","2","3","1","1","3","3","2","3","","3","2","4","3","One central internship information platform","","Need more communication"
"2026/07/08 5:32:12 pm GMT+4","Yes, I agree to participate","4th year","Mathematics","No","No","5","No","","","","","","","","","","","I knew about them but did not need them","4","4","5","5","One central internship information platform","",""
"2026/07/08 5:38:15 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements;CV or resume support","3","4","2","2","1","2","3","2","3","","3","2","1","2","More mock interview practice","",""
"2026/07/08 5:39:15 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","Yes","4","Yes","Internship information or announcements","3","4","3","2","1","3","4","3","3","","3","4","4","4","Earlier communication about internship opportunities","",""
"2026/07/08 5:44:03 pm GMT+4","Yes, I agree to participate","2nd year","Computer Science","Yes","No","1","No","","","","","","","","","","","I did not know the services existed","1","1","3","1","Earlier communication about internship opportunities","",""
"2026/07/08 5:53:43 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","Yes","4","Yes","Internship information or announcements","3","4","3","3","1","3","3","3","3","","3","3","3","4","Earlier communication about internship opportunities","Information is shared too late","Give more career advice"
"2026/07/08 5:56:16 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements","3","4","1","1","1","3","3","3","4","","3","3","4","5","One central internship information platform","There are not many international options",""
"2026/07/08 5:57:45 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","Yes","4","Yes","Internship information or announcements","3","4","3","1","2","3","4","2","3","","2","3","2","3","Earlier communication about internship opportunities","Few internships matched my field","Find more internships for each major"
"2026/07/08 5:59:10 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","Yes","5","Yes","Internship information or announcements;Interview preparation","3","4","3","2","3","3","3","2","3","","3","3","4","2","More CV or resume support","Communication could be better","Be more active in helping students"
"2026/07/08 6:00:21 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","2","No","","","","","","","","","","","I did not know how to access them","2","2","2","1","One central internship information platform","",""
"2026/07/08 6:01:26 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","4","No","","","","","","","","","","","I planned to use them later","1","1","1","1","One central internship information platform","",""
"2026/07/08 6:02:18 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","5","No","","","","","","","","","","","I planned to use them later","3","2","1","3","One central internship information platform","",""
"2026/07/08 6:03:31 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","5","Yes","Internship information or announcements","3","4","3","1","1","3","4","3","3","","3","3","4","3","More CV or resume support","",""
"2026/07/08 6:05:07 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","1","No","","","","","","","","","","","I did not know the services existed","3","5","2","2","More employer and alumni networking events","",""
"2026/07/08 6:06:30 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","Yes","4","Yes","Internship information or announcements","3","4","3","2","1","1","3","3","3","","3","3","4","2","One central internship information platform","","Include more industries"
"2026/07/08 6:07:41 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","5","Yes","Internship information or announcements","1","1","2","2","2","2","3","3","1","","3","2","3","2","One central internship information platform","I haven't received much support","answer students faster"
"2026/07/08 6:09:05 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","4","No","","","","","","","","","","","I planned to use them later","3","1","1","5","One central internship information platform","",""
"2026/07/08 6:10:06 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","5","No","","","","","","","","","","","The available services did not seem relevant to my field","2","2","3","2","Earlier communication about internship opportunities","",""
"2026/07/08 6:11:17 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","3","No","","","","","","","","","","","The available services did not seem relevant to my field","3","1","2","3","One central internship information platform","as a cs student i really do not want to be working as a restaurant floor mopper",""
"2026/07/08 6:11:44 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements","3","4","3","2","1","3","3","3","3","","3","3","4","4","Earlier communication about internship opportunities","",""
"2026/07/08 6:13:30 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements;Other","3","1","3","1","1","3","3","2","2","","2","3","2","2","More mock interview practice","very abstract","mock interviews would be great"
"2026/07/08 6:13:47 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","3","No","","","","","","","","","","","I did not know how to access them","2","3","4","3","Other","the number of relevant internship opportunities is low","i think interships should be discussed much more"
"2026/07/08 6:15:32 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","5","Yes","Internship information or announcements;Other","4","3","4","2","2","4","4","5","5","","4","4","4","5","One central internship information platform","","Keep doing a good job"
"2026/07/08 6:16:12 pm GMT+4","Yes, I agree to participate","3rd year","Management","No","No","2","No","","","","","","","","","","","I did not know the services existed","2","3","3","3","Earlier communication about internship opportunities","it's not well known among my peers","giving us more connections with different companies, offering something for everyone"
"2026/07/08 6:16:31 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","2","No","","","","","","","","","","","I did not know the services existed","3","3","2","1","Earlier communication about internship opportunities","",""
"2026/07/08 6:18:03 pm GMT+4","Yes, I agree to participate","3rd year","Management","No","No","1","No","","","","","","","","","","","The available services did not seem relevant to my field","1","3","2","1","More mock interview practice","I don't think they show enough effort in supporting all students","to be more open minded about the goals of different students and help us prepare for internships"
"2026/07/08 7:05:53 pm GMT+4","Yes, I agree to participate","4th year","Mathematics","Yes","No","1","No","","","","","","","","","","","The available services did not seem relevant to my field","1","4","3","2","One central internship information platform","",""
"2026/07/08 7:08:49 pm GMT+4","Yes, I agree to participate","3rd year","Mathematics","Yes","Yes","4","Yes","Internship information or announcements","1","1","2","1","1","2","2","1","2","","2","5","4","3","Earlier communication about internship opportunities","",""
"2026/07/08 7:13:19 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","Yes","4","Yes","Internship information or announcements;Employer or alumni events","2","2","2","1","1","2","3","2","2","","3","5","4","2","More mock interview practice","",""
"2026/07/08 8:01:48 pm GMT+4","Yes, I agree to participate","2nd year","Management","Yes","No","3","No","","","","","","","","","","","I planned to use them later","4","4","4","3","More employer and alumni networking events","Lack of awareness has to be the biggest weakness ","Services should be promoted more, like emails/announcements/career events"
"2026/07/08 8:28:17 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","No","3","No","","","","","","","","","","","The available services did not seem relevant to my field","2","3","1","2","More CV or resume support","They don't really reach out other than random emails","More transparency"
"2026/07/08 8:31:00 pm GMT+4","Yes, I agree to participate","4th year","Computer Science","Yes","Yes","5","Yes","Application support","4","3","4","3","2","3","3","4","4","","5","5","3","3","More employer and alumni networking events","",""
"2026/07/08 8:35:03 pm GMT+4","Yes, I agree to participate","3rd year","Management","Yes","No","3","No","","","","","","","","","","","The available services did not seem relevant to my field","2","4","2","3","More school-specific internship guidance","",""
"2026/07/08 8:37:48 pm GMT+4","Yes, I agree to participate","3rd year","Management","No","No","2","No","","","","","","","","","","","I knew about them but did not need them","2","3","1","2","More school-specific internship guidance","I did not even know they offered services to management students",""
"2026/07/08 8:47:49 pm GMT+4","Yes, I agree to participate","3rd year","Mathematics","No","No","1","No","","","","","","","","","","","I did not know the services existed","4","3","2","3","Earlier communication about internship opportunities","They exist?","Publicity I guess"
"2026/07/08 8:57:35 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","3","No","","","","","","","","","","","I knew about them but did not need them","3","4","3","3","More employer and alumni networking events","",""
"2026/07/08 8:58:10 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","2","Yes","Internship information or announcements","3","3","3","1","1","4","3","3","4","","3","4","4","4","One central internship information platform","the opportunities arise like 3 times a year which isn't enough","to organize more events and give us more connections "
"2026/07/08 9:00:54 pm GMT+4","Yes, I agree to participate","3rd year","Computer Science","Yes","Yes","4","Yes","Internship information or announcements","4","3","3","1","1","5","4","4","4","","4","5","4","4","More employer and alumni networking events","there are not enough internship openings for everyone, some get left out","more opportunities "
